filename,model,role,test_run,answer,error
gemma3n_e4b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_0.txt,gemma3n_e4b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,0,"26,532.98",0
gemma3n_e4b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_1.txt,gemma3n_e4b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,1,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_2.txt,gemma3n_e4b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,2,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_3.txt,gemma3n_e4b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,3,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_4.txt,gemma3n_e4b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,4,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_a-microwave-oven_0.txt,gemma3n_e4b,a-microwave-oven,0,"26,533.00",0.0200000000004366
gemma3n_e4b_compound_interest_a-microwave-oven_1.txt,gemma3n_e4b,a-microwave-oven,1,"26,533.09",0.110000000000582
gemma3n_e4b_compound_interest_a-microwave-oven_2.txt,gemma3n_e4b,a-microwave-oven,2,"26,533.00",0.0200000000004366
gemma3n_e4b_compound_interest_a-microwave-oven_3.txt,gemma3n_e4b,a-microwave-oven,3,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_a-microwave-oven_4.txt,gemma3n_e4b,a-microwave-oven,4,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_a-person-with-below-average-intelligence_0.txt,gemma3n_e4b,a-person-with-below-average-intelligence,0,"15,000.00",-11532.98
gemma3n_e4b_compound_interest_a-person-with-below-average-intelligence_1.txt,gemma3n_e4b,a-person-with-below-average-intelligence,1,"11,592.74",-14940.24
gemma3n_e4b_compound_interest_a-person-with-below-average-intelligence_2.txt,gemma3n_e4b,a-person-with-below-average-intelligence,2,0.00,0
gemma3n_e4b_compound_interest_a-person-with-below-average-intelligence_3.txt,gemma3n_e4b,a-person-with-below-average-intelligence,3,"11,592.74",-14940.24
gemma3n_e4b_compound_interest_a-person-with-below-average-intelligence_4.txt,gemma3n_e4b,a-person-with-below-average-intelligence,4,"11,592.74",-14940.24
gemma3n_e4b_compound_interest_an-LLM-assistant_0.txt,gemma3n_e4b,an-LLM-assistant,0,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_an-LLM-assistant_1.txt,gemma3n_e4b,an-LLM-assistant,1,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_an-LLM-assistant_2.txt,gemma3n_e4b,an-LLM-assistant,2,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_an-LLM-assistant_3.txt,gemma3n_e4b,an-LLM-assistant,3,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_an-LLM-assistant_4.txt,gemma3n_e4b,an-LLM-assistant,4,"26,532.97",-0.00999999999839929
gemma3n_e4b_compound_interest_an-MIT-Math-professor_0.txt,gemma3n_e4b,an-MIT-Math-professor,0,"26,533.00",0.0200000000004366
